,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,FantPos,FantPt,VBD,PosRank,OvRank
1,Ray Rice,BAL,25,4,3,0,0,0,0,0,64,317,3,22,174,0,RB,67,40,1,1
2,C.J. Spiller,BUF,25,3,2,0,0,0,0,0,33,308,3,7,114,1,RB,66,39,2,2
3,Joe Flacco,BAL,27,4,3,99,156,1269,7,3,6,6,1,0,0,0,QB,93,35,1,3
4,Robert Griffin III,WAS,22,3,3,60,89,747,4,1,32,209,3,0,0,0,QB,91,33,2,4
5,Trent Richardson,CLE,22,4,4,0,0,0,0,0,64,222,3,15,122,1,RB,58,31,3,5
6,Matt Ryan,ATL,27,3,3,77,107,793,8,1,10,48,1,0,0,0,QB,89,30,3,6
7,Arian Foster,HOU,26,3,3,0,0,0,0,0,79,294,3,8,36,1,RB,57,30,4,7
8,Torrey Smith,BAL,23,4,3,0,0,0,0,0,2,13,0,16,332,3,WR,53,26,1,8
9,Ben Roethlisberger,PIT,30,3,3,82,120,904,8,1,3,12,0,0,0,0,QB,83,25,4,9
10,Reggie Bush,MIA,27,3,3,0,0,0,0,0,50,302,2,10,72,0,RB,49,22,5,10
11,Maurice Jones-Drew,JAX,27,3,2,0,0,0,0,0,59,314,1,8,41,1,RB,48,20,6,11
12,Jamaal Charles,KAN,26,3,2,0,0,0,0,0,55,323,1,9,74,0,RB,46,19,7,12
13,Vernon Davis,SFO,28,3,3,0,0,0,0,0,0,0,0,13,169,4,TE,41,19,1,13
14,A.J. Green,CIN,24,3,3,0,0,0,0,0,1,11,0,21,311,2,WR,44,18,2,14
15,Alfred Morris,WAS,24,3,3,0,0,0,0,0,61,263,3,0,0,0,RB,44,17,8,15
16,Tony Gonzalez,ATL,36,3,3,0,0,0,0,0,0,0,0,21,214,3,TE,39,17,2,16
17,Calvin Johnson,DET,27,3,3,0,0,0,0,0,0,0,0,24,369,1,WR,43,17,3,17
18,Drew Brees,NOR,33,3,3,75,137,904,7,5,3,-1,1,0,0,0,QB,74,16,5,18
19,Mike Wallace,PIT,26,3,3,0,0,0,0,0,1,1,0,17,234,3,WR,42,15,4,19
20,Heath Miller,PIT,30,3,3,0,0,0,0,0,0,0,0,15,129,4,TE,37,15,3,20
21,Martellus Bennett,NYG,25,3,3,0,0,0,0,0,0,0,0,15,185,3,TE,37,14,4,21
22,Frank Gore,SFO,29,3,3,0,0,0,0,0,45,264,2,4,26,0,RB,41,14,9,22
23,Andre Brown,NYG,26,3,1,0,0,0,0,0,33,184,3,5,36,0,RB,40,13,10,23
24,Jimmy Graham,NOR,27,3,3,0,0,0,0,0,0,0,0,17,172,3,TE,35,13,5,24
25,Adrian Peterson,MIN,27,3,3,0,0,0,0,0,58,230,2,6,44,0,RB,39,12,11,25
26,Ryan Fitzpatrick,BUF,30,3,3,50,86,581,8,3,12,52,0,0,0,0,QB,70,12,6,26
27,Marshawn Lynch,SEA,26,3,3,0,0,0,0,0,72,305,1,3,13,0,RB,38,11,12,27
28,Julio Jones,ATL,23,3,2,0,0,0,0,0,1,1,0,15,189,3,WR,37,11,5,28
29,Miles Austin,DAL,28,3,3,0,0,0,0,0,0,0,0,14,243,2,WR,36,10,6,29
30,Andy Dalton,CIN,25,3,3,65,95,867,6,3,8,31,0,0,0,0,QB,68,10,7,30
31,Kyle Rudolph,MIN,23,3,3,0,0,0,0,0,0,0,0,13,138,3,TE,32,9,6,31
32,Danny Amendola,STL,27,3,3,0,0,0,0,0,1,2,0,25,296,1,WR,36,9,7,32
33,LeSean McCoy,PHI,24,3,3,0,0,0,0,0,58,261,1,11,42,0,RB,36,9,13,33
34,Reggie Wayne,IND,34,3,3,0,0,0,0,0,0,0,0,23,294,1,WR,35,9,9,34
35,Dwayne Bowe,KAN,28,3,2,0,0,0,0,0,0,0,0,18,234,2,WR,35,9,8,35
36,Steve Johnson,BUF,26,3,3,0,0,0,0,0,0,0,0,13,172,3,WR,35,9,10,36
37,BenJarvus Green-Ellis,CIN,27,3,3,0,0,0,0,0,56,204,2,4,34,0,RB,36,9,14,37
38,Dennis Pitta,BAL,27,4,3,0,0,0,0,0,0,0,0,18,188,2,TE,31,8,7,38
39,Andrew Hawkins,CIN,26,3,0,0,0,0,0,0,2,16,0,12,208,2,WR,34,8,11,39
40,Willis McGahee,DEN,31,3,3,0,0,0,0,0,50,213,2,3,17,0,RB,35,8,15,40
41,Demaryius Thomas,DEN,25,3,3,0,0,0,0,0,0,0,0,16,222,2,WR,34,8,12,41
42,Michael Bush,CHI,28,3,1,0,0,0,0,0,44,151,3,2,18,0,RB,35,8,16,42
43,Lance Moore,NOR,29,3,3,0,0,0,0,0,0,0,0,12,220,2,WR,34,8,13,43
44,Victor Cruz,NYG,26,3,3,0,0,0,0,0,0,0,0,23,279,1,WR,34,8,14,44
45,Stevan Ridley,NWE,23,3,2,0,0,0,0,0,52,233,1,5,51,0,RB,34,7,17,45
46,Andre Johnson,HOU,31,3,3,0,0,0,0,0,0,0,0,13,212,2,WR,33,7,15,46
47,Eli Manning,NYG,31,3,3,79,118,1011,5,3,5,3,0,0,0,0,QB,65,6,8,47
48,Darren McFadden,OAK,25,3,3,0,0,0,0,0,44,167,1,17,107,0,RB,33,6,18,48
49,DeMarco Murray,DAL,24,3,3,0,0,0,0,0,50,213,1,9,57,0,RB,33,6,19,49
50,Kevin Ogletree,DAL,25,3,0,0,0,0,0,0,1,5,0,14,197,2,WR,32,6,16,50
51,Andrew Luck,IND,23,3,3,65,122,846,5,4,10,80,0,0,0,0,QB,64,6,9,51
52,Percy Harvin,MIN,24,3,3,0,0,0,0,0,8,42,0,27,277,0,WR,32,6,17,52
53,Rob Gronkowski,NWE,23,3,2,0,0,0,0,0,0,0,0,14,156,2,TE,28,5,8,53
54,Antonio Brown,PIT,26,3,2,0,0,0,0,0,2,13,0,18,240,1,WR,31,5,18,54
55,Anquan Boldin,BAL,32,4,3,0,0,0,0,0,1,3,0,19,249,1,WR,31,5,19,55
56,Doug Martin,TAM,23,3,3,0,0,0,0,0,63,214,1,6,44,0,RB,32,5,20,56
57,Christian Ponder,MIN,24,3,3,68,97,713,4,0,11,41,1,0,0,0,QB,63,4,10,57
58,Carson Palmer,OAK,33,3,3,80,128,879,5,2,4,12,0,0,0,0,QB,62,4,11,58
59,Jeremy Kerley,NYJ,24,3,0,0,0,0,0,0,0,0,0,8,185,2,WR,31,4,20,59
60,Nate Washington,TEN,29,3,1,0,0,0,0,0,0,0,0,7,185,2,WR,31,4,21,60
61,Roddy White,ATL,31,3,2,0,0,0,0,0,0,0,0,19,244,1,WR,30,4,22,61
62,Santonio Holmes,NYJ,28,3,3,0,0,0,0,0,0,0,0,16,243,1,WR,30,4,23,62
63,Brent Celek,PHI,27,3,3,0,0,0,0,0,0,0,0,14,258,0,TE,26,3,9,63
64,Hakeem Nicks,NYG,24,2,2,0,0,0,0,0,0,0,0,14,237,1,WR,30,3,24,64
65,Steve Smith,CAR,33,3,3,0,0,0,0,0,0,0,0,14,296,0,WR,30,3,25,65
66,Malcom Floyd,SDG,31,3,3,0,0,0,0,0,0,0,0,13,227,1,WR,29,2,26,66
67,Darren Sproles,NOR,29,3,1,0,0,0,0,0,7,62,0,18,163,1,RB,29,1,21,67
68,Kevin Smith,DET,26,3,2,0,0,0,0,0,29,115,1,6,46,1,RB,28,1,22,68
69,Brandon Marshall,CHI,28,3,3,0,0,0,0,0,0,0,0,16,214,1,WR,27,1,27,69
70,Scott Chandler,BUF,27,3,3,0,0,0,0,0,0,0,0,8,113,2,TE,23,1,10,70
71,Cecil Shorts,JAX,25,3,0,0,0,0,0,0,1,-4,0,5,154,2,WR,27,1,28,71
72,Dante Rosario,SDG,28,3,1,0,0,0,0,0,0,0,0,5,48,3,TE,23,,11,72
73,Michael Turner,ATL,30,3,3,0,0,0,0,0,42,154,2,3,1,0,RB,28,,23,73
74,Brandon LaFell,CAR,26,3,3,0,0,0,0,0,1,25,0,10,182,1,WR,27,,29,74
75,Jared Cook,TEN,25,3,3,0,0,0,0,0,0,0,0,11,164,1,TE,22,,12,75
76,Ben Tate,HOU,24,3,0,0,0,0,0,0,25,106,2,7,45,0,RB,27,,24,76
77,Alex Smith,SFO,28,3,0,64,92,641,5,1,13,46,0,0,0,0,QB,58,,12,77
78,Vincent Jackson,TAM,29,3,3,0,0,0,0,0,0,0,0,10,204,1,WR,26,,30,78
79,Jake Locker,TEN,24,3,3,67,104,781,4,2,8,67,0,0,0,0,QB,58,,14,
80,Matt Schaub,HOU,31,3,3,63,96,751,5,1,6,-5,0,0,0,0,QB,58,,15,
81,Tom Brady,NWE,35,3,2,79,118,887,4,1,5,7,0,0,0,0,QB,58,,13,
82,Peyton Manning,DEN,36,3,3,69,115,824,5,3,5,2,0,0,0,0,QB,57,,16,
83,Michael Vick,PHI,32,3,3,69,125,905,3,6,21,81,1,0,0,0,QB,56,,17,
84,Cam Newton,CAR,23,3,3,53,83,798,2,5,24,81,2,0,0,0,QB,54,,18,
85,Mark Sanchez,NYJ,26,3,3,50,99,710,5,3,1,4,0,0,0,0,QB,53,,20,
86,Tony Romo,DAL,32,3,3,70,108,841,4,3,11,12,0,1,-1,0,QB,53,,21,
87,Matt Cassel,KAN,30,3,3,70,119,807,3,4,7,47,1,0,0,0,QB,53,,19,
88,Kevin Kolb,ARI,28,3,2,38,59,428,4,0,10,32,1,0,0,0,QB,50,,22,
89,Aaron Rodgers,GNB,29,3,3,78,115,745,3,2,10,38,0,0,0,0,QB,48,,23,
90,Matthew Stafford,DET,24,3,3,84,122,863,3,4,4,22,0,1,3,0,QB,47,,24,
91,Sam Bradford,STL,25,3,3,61,95,660,4,3,7,26,0,0,0,0,QB,47,,25,
92,Brandon Weeden,CLE,29,4,4,90,167,997,3,7,4,31,0,0,0,0,QB,47,,26,
93,Russell Wilson,SEA,24,3,3,43,75,434,4,1,15,66,0,0,0,0,QB,46,,28,
94,Philip Rivers,SDG,31,3,3,69,103,688,4,3,4,9,0,0,0,0,QB,46,,27,
95,Blaine Gabbert,JAX,23,3,3,40,79,468,4,0,8,22,0,0,0,0,QB,45,,29,
96,Josh Freeman,TAM,24,3,3,41,80,491,4,3,8,14,0,0,0,0,QB,39,,30,
97,Jay Cutler,CHI,29,3,3,49,93,642,3,6,9,26,0,0,0,0,QB,34,,31,
98,Ryan Tannehill,MIA,24,3,3,54,102,615,1,4,8,16,1,0,0,0,QB,30,,32,
99,Cedric Benson,GNB,30,3,3,0,0,0,0,0,46,144,1,8,54,0,RB,26,,26,
100,Matt Forte,CHI,27,2,2,0,0,0,0,0,23,111,1,7,89,0,RB,26,,25,
101,Wes Welker,NWE,31,3,1,0,0,0,0,0,0,0,0,16,251,0,WR,25,,31,
102,Andre Roberts,ARI,24,3,3,0,0,0,0,0,1,15,0,9,111,2,WR,25,,32,
103,Donald Brown,IND,25,3,3,0,0,0,0,0,43,155,1,1,39,0,RB,25,,27,
104,Pierre Thomas,NOR,28,3,2,0,0,0,0,0,19,138,0,9,100,0,RB,24,,29,
105,Jackie Battle,SDG,29,3,0,0,0,0,0,0,17,124,2,0,0,0,RB,24,,28,
106,Eric Decker,DEN,25,3,3,0,0,0,0,0,0,0,0,17,243,0,WR,24,,34,
107,Jeremy Maclin,PHI,24,2,2,0,0,0,0,0,0,0,0,8,119,2,WR,24,,38,
108,Brandon Lloyd,NWE,31,3,2,0,0,0,0,0,0,0,0,22,237,0,WR,24,,39,
109,Donnie Avery,IND,28,3,3,0,0,0,0,0,2,7,0,14,176,1,WR,24,,33,
110,Brandon Gibson,STL,25,3,3,0,0,0,0,0,0,0,0,8,123,2,WR,24,,35,
111,Larry Fitzgerald,ARI,29,3,3,0,0,0,0,0,0,0,0,14,181,1,WR,24,,36,
112,DeSean Jackson,PHI,26,3,3,0,0,0,0,0,1,5,0,14,234,0,WR,24,,37,
113,Jacoby Jones,BAL,28,4,2,0,0,0,0,0,0,0,0,9,170,1,WR,23,,40,
114,Golden Tate,SEA,24,2,2,0,0,0,0,0,0,0,0,6,106,2,WR,23,,42,
115,Shaun Draughn,KAN,25,3,0,0,0,0,0,0,18,107,1,6,61,0,RB,23,,30,
116,Shonn Greene,NYJ,27,3,3,0,0,0,0,0,57,157,1,2,9,0,RB,23,,31,
117,Nate Burleson,DET,31,3,3,0,0,0,0,0,5,18,0,17,149,1,WR,23,,41,
118,Owen Daniels,HOU,30,3,3,0,0,0,0,0,0,0,0,13,160,1,TE,22,,13,
119,Brandon Pettigrew,DET,27,3,3,0,0,0,0,0,0,0,0,16,156,1,TE,22,,14,
120,Armon Binns,CIN,23,3,2,0,0,0,0,0,0,0,0,12,157,1,WR,22,,44,
121,Mike Williams,TAM,25,3,3,0,0,0,0,0,0,0,0,7,104,2,WR,22,,43,
122,Brandon Myers,OAK,27,3,2,0,0,0,0,0,0,0,0,15,206,0,TE,21,,15,
123,Stephen Hill,NYJ,21,3,3,0,0,0,0,0,0,0,0,5,89,2,WR,21,,45,
124,Greg Little,CLE,23,4,4,0,0,0,0,0,1,-2,0,11,151,1,WR,21,,46,
125,DeAngelo Williams,CAR,29,3,3,0,0,0,0,0,31,118,1,3,28,0,RB,21,,32,
126,Joique Bell,DET,26,3,0,0,0,0,0,0,12,38,1,6,103,0,RB,20,,33,
127,James Jones,GNB,28,3,3,0,0,0,0,0,0,0,0,11,135,1,WR,20,,48,
128,Brian Hartline,MIA,26,3,2,0,0,0,0,0,0,0,0,13,202,0,WR,20,,47,
129,Brandon Stokley,DEN,36,3,0,0,0,0,0,0,0,0,0,11,126,1,WR,19,,52,
130,Mikel Leshoure,DET,22,1,1,0,0,0,0,0,26,100,1,4,34,0,RB,19,,34,
131,T.Y. Hilton,IND,23,2,0,0,0,0,0,0,0,0,0,5,128,1,WR,19,,51,
132,Alshon Jeffery,CHI,22,3,1,0,0,0,0,0,0,0,0,9,132,1,WR,19,,50,
133,Shaun Hill,DET,32,1,0,10,13,172,2,0,1,-1,0,0,0,0,QB,19,,33,
134,Travis Benjamin,CLE,23,4,1,0,0,0,0,0,4,50,0,5,82,1,WR,19,,49,
135,Jermichael Finley,GNB,25,3,3,0,0,0,0,0,0,0,0,15,133,1,TE,19,,16,
136,Jermaine Gresham,CIN,24,3,3,0,0,0,0,0,0,0,0,12,131,1,TE,19,,17,
137,Steven Jackson,STL,29,3,3,0,0,0,0,0,41,140,0,6,36,0,RB,18,,37,
138,Daniel Thomas,MIA,25,2,0,0,0,0,0,0,22,80,1,2,43,0,RB,18,,35,
139,Kevin Walter,HOU,31,3,2,0,0,0,0,0,0,0,0,8,123,1,WR,18,,55,
140,Michael Crabtree,SFO,25,3,3,0,0,0,0,0,0,0,0,19,183,0,WR,18,,54,
141,Isaac Redman,PIT,28,3,3,0,0,0,0,0,32,72,1,6,45,0,RB,18,,36,
142,Leonard Hankerson,WAS,23,3,1,0,0,0,0,0,0,0,0,6,124,1,WR,18,,53,
143,Jordy Nelson,GNB,27,3,3,0,0,0,0,0,0,0,0,13,167,0,WR,17,,60,
144,Pierre Garcon,WAS,26,1,1,0,0,0,0,0,0,0,0,4,109,1,WR,17,,59,
145,Ahmad Bradshaw,NYG,26,2,2,0,0,0,0,0,22,94,1,2,15,0,RB,17,,39,
146,Lamar Miller,MIA,21,2,0,0,0,0,0,0,19,113,1,0,0,0,RB,17,,38,
147,Titus Young,DET,23,3,2,0,0,0,0,0,1,11,0,8,100,1,WR,17,,58,
148,Greg Olsen,CAR,27,3,3,0,0,0,0,0,0,0,0,14,167,0,TE,17,,18,
149,Jacquizz Rodgers,ATL,22,3,0,0,0,0,0,0,20,57,0,7,48,1,RB,17,,40,
150,Davone Bess,MIA,27,3,3,0,0,0,0,0,0,0,0,13,174,0,WR,17,,56,
151,Denarius Moore,OAK,24,2,2,0,0,0,0,0,0,0,0,8,112,1,WR,17,,57,
152,Marques Colston,NOR,29,3,2,0,0,0,0,0,0,0,0,10,160,0,WR,16,,65,
153,Darrius Heyward-Bey,OAK,25,3,3,0,0,0,0,0,0,0,0,9,98,1,WR,16,,66,
154,Kendall Wright,TEN,23,3,2,0,0,0,0,0,0,0,0,14,102,1,WR,16,,64,
155,Ramses Barden,NYG,26,3,1,0,0,0,0,0,0,0,0,10,162,0,WR,16,,63,
156,Aldrick Robinson,WAS,24,3,1,0,0,0,0,0,0,0,0,7,104,1,WR,16,,62,
157,Dez Bryant,DAL,24,3,3,0,0,0,0,0,0,0,0,13,164,0,WR,16,,61,
158,Randy Moss,SFO,35,3,1,0,0,0,0,0,0,0,0,8,88,1,WR,15,,68,
159,Sidney Rice,SEA,26,3,3,0,0,0,0,0,0,0,0,8,91,1,WR,15,,67,
160,Dexter McCluster,KAN,23,3,1,0,0,0,0,0,1,5,0,13,142,0,WR,15,,69,
161,Mohamed Massaquoi,CLE,26,3,3,0,0,0,0,0,0,0,0,9,145,0,WR,15,,70,
162,Mike Goodson,OAK,25,3,0,0,0,0,0,0,4,8,0,3,83,1,RB,15,,42,
163,Mike Tolbert,CAR,27,3,1,0,0,0,0,0,6,9,1,9,78,0,RB,15,,43,
164,Anthony Fasano,MIA,28,3,3,0,0,0,0,0,0,0,0,10,85,1,TE,15,,20,
165,Jacob Tamme,DEN,27,3,3,0,0,0,0,0,0,0,0,10,87,1,TE,15,,19,
166,Danny Woodhead,NWE,27,3,0,0,0,0,0,0,29,72,1,2,21,0,RB,15,,41,
167,Ryan Williams,ARI,22,3,1,0,0,0,0,0,31,105,0,5,39,0,RB,14,,44,
168,Daryl Richardson,STL,22,3,0,0,0,0,0,0,21,119,0,3,23,0,RB,14,,45,
169,Donald Jones,BUF,25,3,3,0,0,0,0,0,0,0,0,11,82,1,WR,14,,72,
170,Randall Cobb,GNB,22,3,0,0,0,0,0,0,2,48,0,11,96,0,WR,14,,71,
171,Mark Ingram,NOR,23,3,0,0,0,0,0,0,27,79,1,0,0,0,RB,14,,47,
172,Julian Edelman,NWE,26,3,1,0,0,0,0,0,2,-5,0,10,85,1,WR,14,,74,
173,Tashard Choice,BUF,28,3,0,0,0,0,0,0,32,131,0,2,8,0,RB,14,,46,
174,Mario Manningham,SFO,26,3,1,0,0,0,0,0,1,29,0,12,113,0,WR,14,,73,
175,Fred Davis,WAS,26,3,3,0,0,0,0,0,1,1,0,11,142,0,TE,14,,21,
176,Brandon Tate,CIN,25,3,0,0,0,0,0,0,0,0,0,4,74,1,WR,13,,75,
177,Rod Streater,OAK,24,3,1,0,0,0,0,0,0,0,0,8,68,1,WR,13,,76,
178,Peyton Hillis,KAN,26,3,2,0,0,0,0,0,21,93,0,5,33,0,RB,13,,50,
179,Bilal Powell,NYJ,24,3,0,0,0,0,0,0,22,88,0,3,40,0,RB,13,,48,
180,Jonathan Stewart,CAR,25,1,0,0,0,0,0,0,11,51,0,1,17,1,RB,13,,49,
181,Kevin Boss,KAN,28,2,2,0,0,0,0,0,0,0,0,3,65,1,TE,13,,22,
182,Vonta Leach,BAL,31,4,0,0,0,0,0,0,1,5,1,8,56,0,RB,12,,52,
183,Curtis Brinkley,SDG,27,3,1,0,0,0,0,0,29,60,0,9,63,0,RB,12,,51,
184,Emmanuel Sanders,PIT,29,3,0,0,0,0,0,0,0,0,0,10,121,0,WR,12,,78,
185,Santana Moss,WAS,33,3,1,0,0,0,0,0,0,0,0,7,64,1,WR,12,,77,
186,Joel Dreessen,DEN,30,3,3,0,0,0,0,0,0,0,0,5,58,1,TE,12,,25,
187,Aaron Hernandez,NWE,23,2,2,0,0,0,0,0,1,5,0,6,59,1,TE,12,,23,
188,Marcedes Lewis,JAX,28,3,3,0,0,0,0,0,0,0,0,6,60,1,TE,12,,24,
189,Laurent Robinson,JAX,27,3,3,0,0,0,0,0,0,0,0,8,115,0,WR,12,,79,
190,Craig Stevens,TEN,28,3,3,0,0,0,0,0,0,0,0,7,114,0,TE,11,,26,
191,Anthony McCoy,SEA,25,3,0,0,0,0,0,0,0,0,0,6,50,1,TE,11,,27,
192,Damaris Johnson,PHI,23,3,0,0,0,0,0,0,1,6,0,7,107,0,WR,11,,80,
193,Chris Johnson,TEN,27,3,2,0,0,0,0,0,33,45,0,9,63,0,RB,11,,53,
194,Devin Aromashodu,MIN,28,3,0,0,0,0,0,0,0,0,0,6,104,0,WR,10,,81,
195,Jorvorskie Lane,MIA,25,3,1,0,0,0,0,0,6,16,1,2,25,0,RB,10,,54,
196,Toby Gerhart,MIN,25,3,0,0,0,0,0,0,19,51,0,5,45,0,RB,10,,58,
197,Jason Avant,PHI,29,3,1,0,0,0,0,0,0,0,0,9,98,0,WR,10,,82,
198,Michael Jenkins,MIN,30,3,1,0,0,0,0,0,0,0,0,9,96,0,WR,10,,85,
199,Chris Ogbonnaya,CLE,26,3,0,0,0,0,0,0,2,4,0,11,97,0,RB,10,,55,
200,Jonathan Baldwin,KAN,23,3,0,0,0,0,0,0,0,0,0,6,98,0,WR,10,,83,
201,Bernard Pierce,BAL,22,4,0,0,0,0,0,0,17,88,0,1,10,0,RB,10,,57,
202,Damian Williams,TEN,24,3,2,0,0,0,0,0,0,0,0,11,98,0,WR,10,,84,
203,Clay Harbor,PHI,25,3,2,0,0,0,0,0,0,0,0,4,35,1,TE,10,,32,
204,Coby Fleener,IND,24,3,3,0,0,0,0,0,0,0,0,8,98,0,TE,10,,31,
205,Kellen Davis,CHI,27,3,3,0,0,0,0,0,0,0,0,3,41,1,TE,10,,29,
206,Ben Watson,CLE,32,4,3,0,0,0,0,0,0,0,0,12,103,0,TE,10,,28,
207,Chris Wells,ARI,24,3,2,0,0,0,0,0,29,76,0,1,24,0,RB,10,,56,
208,Dwayne Allen,IND,22,3,2,0,0,0,0,0,1,0,0,6,38,1,TE,10,,30,
209,Robert Meachem,SDG,28,3,1,0,0,0,0,0,0,0,0,6,92,0,WR,9,,88,
210,Donald Driver,GNB,37,3,0,0,0,0,0,0,0,0,0,1,26,1,WR,9,,91,
211,Jonathan Dwyer,PIT,23,3,0,0,0,0,0,0,24,70,0,4,24,0,RB,9,,59,
212,T.J. Graham,BUF,23,2,0,0,0,0,0,0,0,0,0,4,31,1,WR,9,,89,
213,Josh Gordon,CLE,21,4,2,0,0,0,0,0,0,0,0,7,93,0,WR,9,,86,
214,Knowshon Moreno,DEN,25,2,0,0,0,0,0,0,8,15,1,1,12,0,RB,9,,61,
215,Kendall Hunter,SFO,24,3,0,0,0,0,0,0,18,64,0,3,23,0,RB,9,,60,
216,Mohamed Sanu,CIN,23,1,1,1,1,73,1,0,0,0,0,0,0,0,WR,9,,90,
217,Todd Heap,ARI,32,2,1,0,0,0,0,0,0,0,0,8,94,0,TE,9,,33,
218,Tom Crabtree,GNB,27,2,1,0,0,0,0,0,0,0,0,1,27,1,TE,9,,34,
219,Matthew Mulligan,STL,27,3,1,0,0,0,0,0,0,0,0,3,26,1,TE,9,,35,
220,Josh Morgan,WAS,27,3,3,0,0,0,0,0,0,0,0,8,93,0,WR,9,,87,
221,Mewelde Moore,IND,30,3,0,0,0,0,0,0,3,-2,0,3,23,1,RB,8,,62,
222,Jason Witten,DAL,30,3,3,0,0,0,0,0,0,0,0,8,76,0,TE,8,,36,
223,LaRod Stephens-Howling,ARI,25,3,0,0,0,0,0,0,12,1,1,2,14,0,RB,8,,65,
224,Brandon Bolden,NWE,22,3,0,0,0,0,0,0,7,15,1,0,0,0,RB,8,,64,
225,Ryan Mathews,SDG,25,1,1,0,0,0,0,0,10,44,0,5,32,0,RB,8,,63,
226,Derek Hagan,OAK,28,3,0,0,0,0,0,0,0,0,0,8,84,0,WR,8,,92,
227,Earl Bennett,CHI,25,3,0,0,0,0,0,0,0,0,0,6,82,0,WR,8,,93,
228,Michael Floyd,ARI,23,3,0,0,0,0,0,0,0,0,0,1,8,1,WR,7,,98,
229,Ronnie Brown,SDG,31,2,1,0,0,0,0,0,9,13,0,9,52,0,RB,7,,68,
230,Greg Jennings,GNB,29,2,2,0,0,0,0,0,0,0,0,11,69,0,WR,7,,97,
231,Steve Smith,STL,27,3,0,0,0,0,0,0,0,0,0,5,70,0,WR,7,,96,
232,Jed Collins,NOR,26,3,2,0,0,0,0,0,0,0,0,1,6,1,RB,7,,67,
233,Felix Jones,DAL,25,3,1,0,0,0,0,0,2,0,0,6,68,0,RB,7,,66,
234,Louis Murphy,CAR,25,3,1,0,0,0,0,0,0,0,0,4,70,0,WR,7,,95,
235,Stephen Burton,MIN,23,3,0,0,0,0,0,0,0,0,0,1,7,1,WR,7,,99,
236,Domenik Hixon,NYG,28,2,0,0,0,0,0,0,0,0,0,4,67,0,WR,7,,100,
237,Harry Douglas,ATL,28,3,0,0,0,0,0,0,0,0,0,8,72,0,WR,7,,94,
238,Jeff Cumberland,NYJ,25,3,2,0,0,0,0,0,0,0,0,7,71,0,TE,7,,37,
239,Antonio Gates,SDG,32,2,2,0,0,0,0,0,0,0,0,7,65,0,TE,7,,39,
240,Dallas Clark,TAM,33,3,1,0,0,0,0,0,0,0,0,6,66,0,TE,7,,38,
241,Evan Royster,WAS,25,3,0,0,0,0,0,0,5,35,0,4,20,0,RB,6,,70,
242,Kenny Britt,TEN,24,2,1,0,0,0,0,0,0,0,0,7,60,0,WR,6,,102,
