,,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
,Tm,Cmp,Att,Yds,TD,Int,Lng,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
Andy Dalton,CIN,22,37,221,0,1,27,3,11,0,6,,,,
BenJarvus Green-Ellis,CIN,,,,,,,18,91,1,14,1,4,0,4
Andrew Hawkins,CIN,,,,,,,,,,,8,86,0,27
A.J. Green,CIN,,,,,,,,,,,5,70,0,19
Jermaine Gresham,CIN,,,,,,,,,,,3,30,0,13
Armon Binns,CIN,,,,,,,,,,,4,28,0,9
Cedric Peerman,CIN,,,,,,,3,22,0,13,,,,
Brian Leonard,CIN,,,,,,,3,5,0,3,,,,
Brandon Tate,CIN,,,,,,,,,,,1,3,0,3
Bruce Gradkowski,CIN,,,,,,,1,0,0,0,,,,
,,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
,Tm,Cmp,Att,Yds,TD,Int,Lng,Att,Yds,TD,Lng,Rec,Yds,TD,Lng
Joe Flacco,BAL,21,29,299,2,0,52,2,-1,0,0,,,,
Ray Rice,BAL,,,,,,,10,68,2,16,3,25,0,18
Dennis Pitta,BAL,,,,,,,,,,,5,73,1,25
Torrey Smith,BAL,,,,,,,1,13,0,13,2,57,0,52
Anquan Boldin,BAL,,,,,,,1,3,0,3,4,63,1,34
Jacoby Jones,BAL,,,,,,,,,,,3,46,0,25
Deonte Thompson,BAL,,,,,,,,,,,1,25,0,25
Tyrod Taylor,BAL,2,3,30,0,0,25,1,7,0,7,,,,
Ed Dickson,BAL,,,,,,,,,,,2,22,0,19
Bernard Pierce,BAL,,,,,,,4,19,0,11,,,,
Vonta Leach,BAL,,,,,,,,,,,3,18,0,10
Anthony Allen,BAL,,,,,,,4,13,0,7,,,,
